ra,ano,fase_original,fase,fase_ideal_original,fase_ideal,idade,flag_idade_formato_excel,ano_nascimento,genero,ano_ingresso,tipo_instituicao,ian,ida,ieg,iaa,ips,ipp,ipv,flag_ipp_ausencia_estrutural,nota_matematica,nota_portugues,nota_ingles,quantidade_avaliacoes,avaliadores_preenchidos,defasagem,defasagem_calculada,classe_defasagem,inde_original,inde,motivo_inde_ausente,pedra_original,pedra,flag_defasagem_inconsistente,flag_iaa_zero,flag_ieg_zero,flag_ieg_zero_ida_ausente,flag_ingles_ausente_fase_0_2,flag_quantidade_avaliacoes_divergente,flag_conflito_ano_nascimento,flag_conflito_ano_ingresso,flag_conflito_genero,flag_ian_fora_escala,flag_ida_fora_escala,flag_ieg_fora_escala,flag_iaa_fora_escala,flag_ips_fora_escala,flag_ipp_fora_escala,flag_ipv_fora_escala
RA-1,2022,7,7,Fase 8 (Universitários),8,19.0,False,2003,Feminino,2016,Escola Pública,5.0,4.0,4.1,8.3,5.6,,7.278,True,2.7,3.5,6.0,4.0,4,-1,-1,Moderada,5.783,5.783,nao_ausente,Quartzo,Quartzo,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
RA-1,2023,FASE 8,8,Fase 8 (Universitários),8,20.0,True,2003,Feminino,2016,Privada *Parcerias com Bolsa 100%,10.0,,,,,,,False,,,,,0,0,0,Em fase,,,celula_vazia,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
RA-1,2024,8E,8,Fase 8 (Universitários),8,21.0,False,2003,Feminino,2021,Privada *Parcerias com Bolsa 100%,10.0,,0.0,,,,,False,,,,0.0,0,0,0,Em fase,,,celula_vazia,,,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False
RA-10,2022,7,7,Fase 8 (Universitários),8,18.0,False,2004,Feminino,2021,Escola Pública,5.0,4.1,5.2,8.3,5.0,,7.056,True,3.3,2.6,6.4,4.0,4,-1,-1,Moderada,5.784,5.784,nao_ausente,Quartzo,Quartzo,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-100,2022,4,4,Fase 3 (7º e 8º ano),3,13.0,False,2009,Feminino,2019,Rede Decisão,10.0,7.6,7.8,8.8,5.0,,7.25,True,7.0,7.8,8.1,4.0,4,1,1,Em fase,7.618,7.618,nao_ausente,Ametista,Ametista,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-1000,2023,ALFA,0,ALFA (1° e 2° ano),0,8.0,False,2015,Feminino,2023,Pública,10.0,7.0,9.4,8.5,3.77,6.25,8.92,False,7.0,7.0,,2.0,2,0,0,Em fase,7.9162,7.9162,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1000,2024,1N,1,Fase 1 (3° e 4° ano),1,9.0,False,2015,Feminino,2023,Pública,10.0,7.75,9.5454545455,9.002,6.26,8.125,7.835,False,7.5,8.0,,2.0,2,0,0,Em fase,8.364790909100002,8.364790909100002,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1001,2023,ALFA,0,Fase 1 (3° e 4° ano),1,9.0,False,2014,Feminino,2023,Pública,5.0,7.8,9.1,9.0,7.52,7.5,9.17,False,8.3,7.3,,2.0,2,-1,-1,Moderada,8.1162,8.1162,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1001,2024,1N,1,Fase 2 (5° e 6° ano),2,10.0,False,2014,Feminino,2023,Pública,5.0,7.75,9.347826087,7.502,7.51,7.916666667,7.92,False,6.5,9.0,,2.0,2,-1,-1,Moderada,7.7964318841,7.7964318841,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1002,2023,ALFA,0,Fase 1 (3° e 4° ano),1,9.0,False,2014,Feminino,2023,Pública,5.0,7.0,9.7,9.0,7.52,6.25,8.92,False,7.0,7.0,,2.0,2,-1,-1,Moderada,7.9012,7.9012,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1002,2024,ALFA,0,Fase 1 (3° e 4° ano),1,10.0,False,2014,Feminino,2023,Pública,5.0,9.25,7.833333333500001,9.002,7.51,7.5,8.25,False,10.0,8.5,,2.0,2,-1,-1,Moderada,7.967866666700001,7.967866666700001,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1003,2023,ALFA,0,ALFA (1° e 2° ano),0,8.0,False,2015,Masculino,2023,Pública,10.0,4.0,8.5,9.0,7.52,7.5,8.75,False,8.0,0.0,,2.0,2,0,0,Em fase,7.6522,7.6522,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1003,2024,ALFA,0,Fase 1 (3° e 4° ano),1,9.0,False,2015,Masculino,2023,Pública,5.0,8.25,8.6944444445,8.002,7.51,6.875,7.5,False,10.0,6.5,,2.0,2,-1,-1,Moderada,7.627588888900001,7.627588888900001,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1004,2023,ALFA,0,ALFA (1° e 2° ano),0,8.0,False,2014,Feminino,2023,Pública,10.0,7.9,9.6,9.0,7.52,6.875,7.42,False,6.5,9.2,,2.0,2,0,0,Em fase,8.3137,8.3137,nao_ausente,Topázio,Topázio,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
RA-1004,2024,ALFA,0,Fase 1 (3° e 4° ano),1,9.0,False,2014,Feminino,2023,Pública,5.0,7.5,9.25,9.502,7.51,7.5,7.5,False,7.5,7.5,,2.0,2,-1,-1,Moderada,7.801200000000001,7.801200000000001,nao_ausente,Ametista,Ametista,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
