ra,ano,ida,ieg,ips,ipv,fase,idade,alvo
RA-103,2022,7.3,8.7,7.5,7.708,4,13.0,0
RA-110,2022,6.7,9.7,5.6,8.0,4,14.0,0
RA-111,2022,8.0,9.4,8.1,8.667,4,13.0,0
RA-119,2022,5.4,8.2,5.6,7.875,4,14.0,0
RA-127,2022,7.9,8.7,7.5,8.125,4,14.0,0
RA-132,2022,7.7,8.8,5.6,8.458,4,14.0,0
RA-141,2022,5.7,8.2,5.6,5.917,4,14.0,1
RA-143,2022,7.9,9.9,5.6,9.5,4,13.0,0
RA-144,2022,7.9,9.3,5.0,8.292,4,14.0,0
RA-147,2022,6.1,7.7,7.5,7.25,4,14.0,1
RA-153,2022,6.6,8.2,5.0,7.708,4,14.0,0
RA-157,2022,7.7,10.0,6.3,8.292,4,12.0,0
RA-161,2022,6.9,9.1,5.6,8.083,4,11.0,0
RA-165,2022,7.6,9.8,5.6,7.5,4,14.0,0
RA-166,2022,8.1,9.0,6.3,7.542,4,14.0,0
RA-170,2022,4.9,9.2,5.6,5.792,4,14.0,1
RA-172,2022,7.3,8.9,9.4,8.917,4,14.0,0
RA-176,2022,6.9,9.1,5.6,9.083,3,13.0,0
RA-178,2022,6.3,8.8,4.4,8.458,3,13.0,0
RA-179,2022,6.1,9.2,7.5,8.042,3,12.0,0
RA-180,2022,8.1,8.3,6.3,8.625,3,12.0,0
RA-181,2022,6.8,9.5,8.8,8.458,3,13.0,0
RA-183,2022,3.8,8.8,7.5,7.25,3,13.0,1
RA-186,2022,6.6,8.5,7.5,7.5,3,13.0,0
RA-187,2022,5.8,8.9,7.5,7.917,3,12.0,0
RA-190,2022,6.3,6.9,8.8,7.25,3,13.0,1
RA-191,2022,7.2,9.4,8.8,8.5,3,13.0,0
RA-193,2022,6.7,8.9,5.6,8.5,3,12.0,0
RA-195,2022,6.3,9.2,5.0,8.25,3,13.0,0
RA-196,2022,5.1,9.1,7.5,8.625,3,12.0,0
RA-197,2022,7.3,9.7,4.4,8.292,3,13.0,0
RA-199,2022,7.5,7.1,7.5,6.458,3,13.0,1
RA-204,2022,7.4,6.7,4.4,5.708,3,13.0,0
RA-211,2022,7.6,8.8,7.5,8.458,3,13.0,0
RA-215,2022,7.8,5.8,7.5,6.542,3,13.0,0
RA-220,2022,6.5,8.1,7.5,7.833,3,13.0,0
RA-223,2022,3.1,4.6,7.5,5.583,3,13.0,1
RA-227,2022,3.3,6.4,7.5,5.833,3,12.0,0
RA-229,2022,6.9,9.4,7.5,8.5,3,12.0,0
RA-234,2022,4.3,7.6,5.6,5.583,3,13.0,0
RA-236,2022,3.7,7.5,7.5,7.208,3,12.0,0
RA-240,2022,4.7,8.1,5.0,7.042,3,13.0,0
RA-242,2022,8.2,9.7,5.6,8.708,3,13.0,0
RA-244,2022,7.8,9.4,6.3,9.208,3,12.0,0
RA-246,2022,7.6,9.4,7.5,9.167,3,13.0,0
RA-247,2022,5.8,8.2,7.5,7.875,3,13.0,0
RA-250,2022,6.6,8.6,7.5,7.625,3,12.0,0
RA-260,2022,5.0,8.2,7.5,6.458,3,13.0,0
RA-265,2022,6.9,7.7,7.5,7.917,3,13.0,0
RA-269,2022,8.9,8.6,6.3,7.25,3,13.0,0
RA-270,2022,7.9,8.4,6.9,8.125,3,13.0,0
RA-274,2022,8.1,8.3,7.5,7.0,3,11.0,0
RA-278,2022,6.0,9.2,5.6,7.417,3,12.0,0
RA-279,2022,9.1,9.9,6.3,8.208,3,13.0,0
RA-280,2022,7.1,9.2,7.5,7.333,3,13.0,0
RA-291,2022,8.0,8.2,6.9,7.792,3,13.0,0
RA-298,2022,5.2,6.3,5.6,5.417,3,13.0,1
RA-299,2022,6.8,8.2,5.0,6.708,3,13.0,0
RA-301,2022,6.3,5.8,5.6,6.042,3,13.0,0
RA-308,2022,5.0,7.4,6.9,6.167,3,13.0,0
RA-315,2022,3.0,5.1,7.5,5.056,3,13.0,1
RA-319,2022,5.2,7.7,7.5,7.5,3,13.0,0
RA-32,2022,6.1,5.2,8.8,7.944,6,16.0,0
RA-321,2022,5.2,9.1,5.6,8.278,3,12.0,0
RA-322,2022,4.7,8.1,5.0,6.778,3,13.0,0
RA-324,2022,6.8,9.3,6.9,8.611,2,10.0,0
RA-325,2022,6.0,6.8,7.5,8.444,2,10.0,0
RA-339,2022,8.1,9.9,7.5,8.889,2,11.0,0
RA-340,2022,6.5,8.2,7.5,7.667,2,11.0,1
RA-346,2022,7.0,9.1,7.5,7.889,2,10.0,0
RA-350,2022,6.5,8.8,7.5,8.611,2,11.0,1
RA-352,2022,7.0,8.1,5.6,8.389,2,11.0,0
RA-353,2022,7.5,10.0,7.5,8.444,2,11.0,0
RA-364,2022,8.8,10.0,7.5,8.167,2,11.0,0
RA-365,2022,7.8,10.0,5.0,7.833,2,10.0,0
RA-369,2022,4.8,6.9,7.5,6.889,2,11.0,1
RA-373,2022,7.3,9.5,5.0,6.944,2,11.0,1
RA-375,2022,5.4,9.5,7.5,7.667,2,11.0,1
RA-383,2022,8.1,9.6,7.5,7.778,2,11.0,0
RA-389,2022,3.5,8.9,7.5,7.556,2,11.0,1
RA-39,2022,6.9,4.8,6.9,6.111,6,16.0,0
RA-395,2022,4.9,8.9,7.5,8.333,2,11.0,0
RA-398,2022,5.5,9.3,7.5,7.5,2,10.0,0
RA-409,2022,7.8,9.7,7.5,7.5,2,11.0,1
RA-415,2022,6.2,8.3,7.5,8.056,2,11.0,0
RA-418,2022,7.5,9.4,7.5,8.222,2,10.0,0
RA-42,2022,4.8,7.9,5.6,6.083,5,15.0,1
RA-420,2022,4.5,9.0,5.6,8.0,2,11.0,0
RA-421,2022,8.8,9.3,7.5,9.111,2,11.0,0
RA-434,2022,5.7,8.1,7.5,6.778,2,11.0,1
RA-436,2022,2.0,8.1,7.5,6.611,2,11.0,1
RA-438,2022,7.3,8.7,7.5,6.889,2,10.0,0
RA-440,2022,5.5,9.0,6.9,5.833,2,11.0,0
RA-442,2022,7.5,8.2,7.5,8.222,2,11.0,0
RA-444,2022,3.1,7.2,5.0,7.778,2,11.0,0
RA-45,2022,6.8,8.9,5.6,7.417,5,15.0,0
RA-465,2022,7.8,7.9,7.5,8.444,2,11.0,0
RA-469,2022,5.7,9.6,5.0,7.833,2,11.0,1
RA-48,2022,8.1,8.4,7.5,8.5,5,15.0,0
RA-493,2022,7.2,9.4,7.5,8.278,1,9.0,0
RA-501,2022,6.8,8.8,7.5,7.333,1,9.0,1
RA-502,2022,7.4,9.7,7.5,7.778,1,8.0,0
RA-504,2022,8.0,8.9,7.5,7.556,1,9.0,0
RA-513,2022,8.3,9.6,5.6,7.778,1,9.0,0
RA-514,2022,4.8,9.7,7.5,5.889,1,9.0,1
RA-516,2022,9.9,9.7,7.5,8.056,1,9.0,0
RA-519,2022,7.5,9.6,7.5,7.333,1,9.0,1
RA-52,2022,6.2,8.9,7.5,7.5,5,13.0,0
RA-521,2022,6.0,10.0,5.0,7.5,1,9.0,1
RA-522,2022,7.5,9.1,7.5,8.167,1,9.0,1
RA-527,2022,6.5,10.0,7.5,7.5,1,9.0,1
RA-56,2022,7.0,10.0,7.5,8.25,5,15.0,0
RA-58,2022,7.2,9.2,6.3,8.125,5,15.0,0
RA-588,2022,9.3,10.0,5.6,8.278,1,9.0,0
RA-597,2022,8.0,10.0,7.5,7.056,1,9.0,1
RA-600,2022,3.9,8.4,7.5,6.833,1,9.0,1
RA-601,2022,5.7,9.7,7.5,7.167,1,8.0,0
RA-61,2022,5.8,7.4,7.5,7.875,5,15.0,0
RA-610,2022,6.5,9.6,7.5,8.5,1,9.0,0
RA-615,2022,7.3,9.7,7.5,6.889,1,9.0,1
RA-629,2022,7.0,10.0,7.5,7.278,1,9.0,1
RA-630,2022,7.3,9.2,7.5,7.278,1,9.0,1
RA-638,2022,3.9,9.3,7.5,6.278,1,9.0,1
RA-652,2022,7.8,9.6,7.5,7.5,1,9.0,1
RA-674,2022,8.0,8.7,8.1,6.333,0,8.0,1
RA-675,2022,7.4,6.6,8.1,7.083,0,8.0,0
RA-677,2022,7.3,9.4,7.5,8.583,0,8.0,1
RA-684,2022,9.3,7.5,8.1,7.917,0,7.0,0
RA-693,2022,5.7,9.8,8.1,7.667,0,7.0,0
RA-702,2022,6.8,8.6,5.0,7.0,0,8.0,1
RA-718,2022,9.2,8.9,6.3,7.417,0,8.0,0
RA-721,2022,7.6,8.1,7.5,7.917,0,8.0,0
RA-725,2022,5.0,5.9,8.1,5.5,0,8.0,1
RA-726,2022,4.4,7.5,7.5,6.583,0,7.0,0
RA-727,2022,8.4,7.7,8.1,6.75,0,8.0,1
RA-729,2022,8.1,8.7,8.1,7.25,0,8.0,1
RA-738,2022,5.7,8.1,5.6,7.5,0,8.0,0
RA-739,2022,5.9,7.3,5.6,7.083,0,8.0,1
RA-746,2022,7.2,9.1,5.6,7.417,0,8.0,0
RA-753,2022,9.1,8.6,7.5,8.417,0,8.0,1
RA-755,2022,9.5,9.2,6.9,8.083,0,8.0,1
RA-76,2022,8.7,9.1,8.1,9.292,5,15.0,0
RA-764,2022,7.5,8.8,7.5,7.667,0,8.0,0
RA-770,2022,8.3,8.9,7.5,7.333,0,7.0,0
RA-771,2022,7.0,8.3,7.5,7.5,0,7.0,0
RA-774,2022,6.1,7.8,7.5,7.417,0,8.0,1
RA-777,2022,5.3,7.7,7.5,7.0,0,8.0,0
RA-782,2022,6.0,8.4,7.5,7.0,0,8.0,1
