ra,ano,ida,ieg,ips,ipv,fase,idade,alvo
RA-1000,2023,7.0,9.4,3.77,8.92,0,8.0,0
RA-1003,2023,4.0,8.5,7.52,8.75,0,8.0,1
RA-1004,2023,7.9,9.6,7.52,7.42,0,8.0,1
RA-1006,2023,8.7,9.3,7.52,8.0,0,8.0,1
RA-1008,2023,8.4,8.6,7.52,7.5,0,8.0,1
RA-1009,2023,8.8,9.0,3.77,7.84,0,8.0,1
RA-1012,2023,6.6,9.9,3.77,7.845,0,8.0,1
RA-1013,2023,8.3,9.6,4.39,5.76,0,7.0,1
RA-1014,2023,8.2,9.7,3.77,8.255,0,7.0,1
RA-1018,2023,6.3,8.5,5.02,8.06,1,9.0,1
RA-1019,2023,4.3,9.1,5.02,7.836666667,1,8.0,0
RA-1020,2023,6.1,9.1,2.52,8.056666667,1,9.0,0
RA-1021,2023,3.3,9.2,3.77,7.893333333,1,9.0,1
RA-1022,2023,4.7,8.5,3.77,7.893333333,1,9.0,1
RA-1023,2023,9.1,10.0,6.27,9.06,1,9.0,0
RA-1025,2023,7.5,8.9,7.52,7.836666667,1,9.0,1
RA-1029,2023,5.4,6.3,3.77,8.006666667,1,9.0,1
RA-103,2023,7.1,9.2,5.0,8.09,5,14.0,0
RA-1035,2023,5.8,8.3,7.52,7.78,1,9.0,1
RA-1052,2023,5.3,9.0,7.52,7.833333333,1,9.0,1
RA-1056,2023,8.1,9.6,7.52,8.113333333,1,9.0,1
RA-1057,2023,6.3,10.0,7.52,8.34,1,9.0,1
RA-1058,2023,5.4,8.7,3.14,7.62,1,9.0,1
RA-106,2023,7.3,9.1,5.0,7.5075,5,15.0,0
RA-1062,2023,6.2,7.7,3.77,8.503333333,1,9.0,1
RA-107,2023,7.0,8.5,5.0,7.5875,5,15.0,1
RA-1072,2023,6.7,8.6,5.0,8.7125,2,11.0,0
RA-1077,2023,7.3,9.7,2.52,8.4225,2,11.0,0
RA-1084,2023,6.8,10.0,2.52,8.38,2,11.0,0
RA-1089,2023,7.0,9.5,2.52,8.3375,2,11.0,0
RA-1093,2023,9.2,9.3,2.52,8.2975,2,11.0,0
RA-1094,2023,8.5,9.5,2.52,8.3375,2,11.0,0
RA-1096,2023,9.6,9.9,2.52,8.0875,2,10.0,0
RA-110,2023,7.5,8.6,5.0,8.2975,5,15.0,0
RA-1100,2023,7.1,9.2,5.0,8.283333333,2,11.0,0
RA-1102,2023,7.5,9.5,5.0,7.56,2,11.0,0
RA-1103,2023,5.0,8.7,5.0,8.006666667,2,10.0,0
RA-111,2023,6.0,8.7,5.0,8.0875,5,14.0,0
RA-1111,2023,5.4,8.9,2.52,8.173333333,2,11.0,0
RA-1114,2023,4.9,9.8,2.52,8.56,2,11.0,0
RA-1115,2023,4.0,8.3,7.52,7.56,2,11.0,0
RA-1117,2023,7.3,9.6,7.52,7.946666667,2,11.0,0
RA-1121,2023,8.0,9.9,6.26,9.84,2,11.0,0
RA-1122,2023,6.9,9.3,6.89,8.616666667,2,11.0,0
RA-1127,2023,6.9,9.9,5.02,9.01,2,11.0,0
RA-1129,2023,7.8,9.2,6.27,7.503333333,2,11.0,0
RA-1130,2023,7.3,8.4,7.52,7.503333333,2,11.0,0
RA-1133,2023,6.5,10.0,6.27,9.343333333,2,10.0,0
RA-1134,2023,6.8,9.7,3.76,7.56,2,11.0,0
RA-1137,2023,6.5,9.8,6.27,9.843333333,2,10.0,0
RA-1139,2023,5.3,9.1,5.64,7.79,2,11.0,0
RA-1140,2023,7.3,8.7,7.52,7.62,2,11.0,0
RA-1142,2023,10.0,10.0,7.52,8.343333333,2,11.0,0
RA-1151,2023,8.3,9.5,2.52,7.545,3,12.0,0
RA-1154,2023,5.1,9.3,5.63,7.67,3,13.0,1
RA-1156,2023,5.3,9.2,2.52,7.7925,3,12.0,0
RA-1160,2023,2.7,8.7,2.52,7.2575,3,13.0,1
RA-1162,2023,6.0,8.5,3.77,7.7525,3,13.0,0
RA-1165,2023,7.3,9.1,5.0,7.2925,3,12.0,0
RA-1168,2023,3.5,8.8,2.52,7.045,3,13.0,1
RA-1173,2023,6.0,9.7,2.52,8.1225,4,14.0,0
RA-1176,2023,8.2,9.3,7.52,9.17,4,13.0,0
RA-1177,2023,7.2,9.9,2.52,8.88,4,14.0,0
RA-1181,2023,4.8,8.3,2.52,7.3375,4,14.0,0
RA-1193,2023,4.1,7.8,5.0,7.13,4,14.0,1
RA-1200,2023,4.0,6.4,5.0,6.8725,5,15.0,1
